1129 161
1.939386298186629e-02 -2.309959395273934e-02 0.000000000000000e+00
1.938178207535830e-02 -2.312147689495681e-02 0.000000000000000e+00
1.936885306447751e-02 -2.314489940893307e-02 0.000000000000000e+00
1.935501713439133e-02 -2.316997034549157e-02 0.000000000000000e+00
1.934021200699775e-02 -2.319680545685349e-02 0.000000000000000e+00
1.932437156276413e-02 -2.322552821616086e-02 0.000000000000000e+00
1.930742556168064e-02 -2.325627046498857e-02 0.000000000000000e+00
1.928929939213404e-02 -2.328917302898461e-02 0.000000000000000e+00
1.926991382214410e-02 -2.332438634828283e-02 0.000000000000000e+00
1.924918474409651e-02 -2.336207113876953e-02 0.000000000000000e+00
1.922702290833695e-02 -2.340239909208850e-02 0.000000000000000e+00
1.920333364209807e-02 -2.344555361953913e-02 0.000000000000000e+00
1.917801655030265e-02 -2.349173064398944e-02 0.000000000000000e+00
1.915096519443477e-02 -2.354113944349774e-02 0.000000000000000e+00
1.912206674512309e-02 -2.359400355012715e-02 0.000000000000000e+00
1.909120160344635e-02 -2.365056170729021e-02 0.000000000000000e+00
1.905824298532404e-02 -2.371106888879772e-02 0.000000000000000e+00
1.902305646276273e-02 -2.377579738256292e-02 0.000000000000000e+00
1.898545664613381e-02 -2.384505220271929e-02 0.000000000000000e+00
1.894533203838347e-02 -2.391913051404755e-02 0.000000000000000e+00
1.890252237754648e-02 -2.399836392895594e-02 0.000000000000000e+00
1.885685746896359e-02 -2.408310648855663e-02 0.000000000000000e+00
1.880815641431184e-02 -2.417373612152080e-02 0.000000000000000e+00
1.875622674035159e-02 -2.427065617953553e-02 0.000000000000000e+00
1.870086343137532e-02 -2.437429704520732e-02 0.000000000000000e+00
1.864182162227385e-02 -2.448512745468434e-02 0.000000000000000e+00
1.857889531663834e-02 -2.460362857400466e-02 0.000000000000000e+00
1.851183553684490e-02 -2.473032265795243e-02 0.000000000000000e+00
1.844037584641408e-02 -2.486576615543965e-02 0.000000000000000e+00
1.836423090349167e-02 -2.501055160770502e-02 0.000000000000000e+00
1.828307921478791e-02 -2.516531987511848e-02 0.000000000000000e+00
1.819661071616452e-02 -2.533073321474915e-02 0.000000000000000e+00
1.810447402990481e-02 -2.550750456622361e-02 0.000000000000000e+00
1.800629243880628e-02 -2.569639072471720e-02 0.000000000000000e+00
1.790165241097289e-02 -2.589820681160217e-02 0.000000000000000e+00
1.779013318132347e-02 -2.611379301179085e-02 0.000000000000000e+00
1.767127236070409e-02 -2.634404944769774e-02 0.000000000000000e+00
1.754456880913350e-02 -2.658994160286465e-02 0.000000000000000e+00
1.740950334839293e-02 -2.685246231376664e-02 0.000000000000000e+00
1.726550816208343e-02 -2.713268497690841e-02 0.000000000000000e+00
1.711199081734065e-02 -2.743171358948828e-02 0.000000000000000e+00
1.694830899539206e-02 -2.775073614452015e-02 0.000000000000000e+00
1.677378987830674e-02 -2.809097323247072e-02 0.000000000000000e+00
1.658770670362848e-02 -2.845373278672369e-02 0.000000000000000e+00
1.638929519737812e-02 -2.884035577802216e-02 0.000000000000000e+00
1.617772999219054e-02 -2.925227285330461e-02 0.000000000000000e+00
1.595213470353910e-02 -2.969096039843309e-02 0.000000000000000e+00
1.571150401732275e-02 -3.015790350375376e-02 0.000000000000000e+00
1.545478728945066e-02 -3.065475402940963e-02 0.000000000000000e+00
1.518085660478053e-02 -3.118320035976590e-02 0.000000000000000e+00
1.488849697156789e-02 -3.174497679174749e-02 0.000000000000000e+00
1.457640051176864e-02 -3.234185677102114e-02 0.000000000000000e+00
1.424315962498984e-02 -3.297564519249025e-02 0.000000000000000e+00
1.388725887056051e-02 -3.364816978736147e-02 0.000000000000000e+00
1.350706547888995e-02 -3.436127154475241e-02 0.000000000000000e+00
1.310081859730577e-02 -3.511679406586549e-02 0.000000000000000e+00
1.266661652756786e-02 -3.591658604973454e-02 0.000000000000000e+00
1.220240803943683e-02 -3.676244640995643e-02 0.000000000000000e+00
1.170597419585399e-02 -3.765616720756412e-02 0.000000000000000e+00
1.117491973828309e-02 -3.859946593311871e-02 0.000000000000000e+00
1.060665650763507e-02 -3.959402826051611e-02 0.000000000000000e+00
