# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.000000000000000278e-02 1.249894226738065550e-01 4.689486536281183829e-04 5.906751728826202445e-07
1.000000000000000056e-01 1.250037986283004388e-01 4.697016936768777604e-04 2.284948617041576607e-06
1.499999999999999944e-01 1.250410101810097707e-01 4.710309662842191380e-04 4.854631772972643404e-06
2.000000000000000111e-01 1.250978189695626519e-01 4.729513794695958747e-04 7.966656725471839631e-06
2.500000000000000000e-01 1.251703798837214832e-01 4.754739199373870834e-04 1.123836995420046126e-05
2.999999999999999889e-01 1.252547837660461794e-01 4.785972200515679897e-04 1.430603162040002724e-05
3.499999999999999778e-01 1.253476063988357703e-01 4.822996848160401363e-04 1.689446942764334433e-05
4.000000000000000222e-01 1.254463655631244123e-01 4.865345466681755718e-04 1.886989013968501277e-05
4.500000000000000111e-01 1.255497835367918036e-01 4.912301618000492138e-04 2.025893964538350671e-05
5.000000000000000000e-01 1.256577719068527332e-01 4.962965845265425316e-04 2.122858354067895740e-05
5.500000000000000444e-01 1.257711031496524801e-01 5.016371878250501992e-04 2.203660499102901856e-05
5.999999999999999778e-01 1.258908006718754691e-01 5.071620797137729297e-04 2.297021237390581343e-05
6.500000000000000222e-01 1.260173513964563674e-01 5.127995659452862752e-04 2.428707447682507372e-05
6.999999999999999556e-01 1.261499105908721607e-01 5.185030795978382142e-04 2.616585510311648306e-05
7.500000000000000000e-01 1.262857159635424609e-01 5.242528883088379537e-04 2.866985850405879337e-05
8.000000000000000444e-01 1.264199363923072805e-01 5.300534295942634306e-04 3.172958184298128029e-05
8.499999999999999778e-01 1.265461194635182640e-01 5.359278323706239853e-04 3.515378808767069096e-05
9.000000000000000222e-01 1.266572482047975123e-01 5.419111772724427740e-04 3.867731665552128504e-05
9.499999999999999556e-01 1.267471874753385852e-01 5.480436907191760937e-04 4.204138419368304492e-05
1.000000000000000000e+00 1.268120808099210128e-01 5.543646544208750276e-04 4.508063987188506673e-05
1.050000000000000044e+00 1.268511926029622650e-01 5.609074680088088193e-04 4.777659537056461441e-05
1.100000000000000089e+00 1.268668822103738714e-01 5.676960231768898987e-04 5.024827996054663845e-05
1.149999999999999911e+00 1.268637863361835594e-01 5.747423152048141207e-04 5.268602986079640871e-05
1.199999999999999956e+00 1.268476516100019158e-01 5.820450832825154342e-04 5.526872528968379409e-05
1.250000000000000000e+00 1.268243692874908568e-01 5.895893211490474146e-04 5.811645995047874956e-05
1.300000000000000044e+00 1.267995376283675424e-01 5.973467379822395640e-04 6.130841467194259292e-05
1.350000000000000089e+00 1.267784637802839287e-01 6.052775277690962061e-04 6.494605128187685484e-05
1.399999999999999911e+00 1.267662364477664116e-01 6.133338930737226987e-04 6.921031881361268596e-05
1.449999999999999956e+00 1.267675538275390978e-01 6.214655191446654889e-04 7.438427913943305590e-05
1.500000000000000000e+00 1.267862453008443135e-01 6.296266300925052904e-04 8.085610200753435000e-05
1.550000000000000044e+00 1.268246306189149686e-01 6.377835597959347069e-04 8.914078028183430662e-05
1.600000000000000089e+00 1.268829258994013109e-01 6.459212219873443437e-04 9.996666969675570389e-05
1.649999999999999911e+00 1.269588928991556287e-01 6.540467241504229270e-04 1.144649388486053789e-04
1.699999999999999956e+00 1.270479044838249694e-01 6.621888078302144752e-04 1.344162144207861347e-04
1.750000000000000000e+00 1.271434255935251778e-01 6.703955935831182669e-04 1.618818363312166054e-04
1.800000000000000044e+00 1.272376749270409391e-01 6.787305672997609885e-04 1.952105543093290378e-04
1.850000000000000089e+00 1.273232852102071100e-01 6.872548842141404813e-04 2.312024484388064741e-04
1.899999999999999911e+00 1.273943357145041200e-01 6.960282677975483624e-04 2.670589270482305838e-04
1.949999999999999956e+00 1.274467834331095284e-01 7.051115863234736240e-04 3.011892401941120966e-04
2.000000000000000000e+00 1.274784082728624424e-01 7.145748257804660809e-04 3.338006621730048328e-04
2.049999999999999822e+00 1.274880517761409204e-01 7.244497643685899636e-04 3.639107810594141438e-04
2.100000000000000089e+00 1.274761889538914006e-01 7.347902096840553060e-04 3.895964057288133137e-04
2.149999999999999911e+00 1.274450312312692402e-01 7.456666593761183482e-04 4.103729210982565265e-04
2.200000000000000178e+00 1.273979725842922794e-01 7.571468876758590243e-04 4.295670624688267716e-04
2.250000000000000000e+00 1.273374682473391306e-01 7.692950430125928630e-04 4.479057532571256348e-04
