471 602
5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00
5.049711655142213e-01 0.000000000000000e+00 -6.832365018933934e-07
5.099988652690388e-01 0.000000000000000e+00 -1.131251174976353e-06
5.150834318366979e-01 0.000000000000000e+00 -1.355322369545097e-06
5.202254992813918e-01 0.000000000000000e+00 -1.396245070846400e-06
5.254257292089501e-01 0.000000000000000e+00 -1.292469187171496e-06
5.306847482455489e-01 0.000000000000000e+00 -1.076265213314446e-06
5.360031512197291e-01 0.000000000000000e+00 -7.762596657771284e-07
5.413815181228611e-01 0.000000000000000e+00 -4.190640978754285e-07
5.468204243071704e-01 0.000000000000000e+00 -2.949864609524955e-08
5.523204436336348e-01 0.000000000000000e+00 3.696799947428692e-07
5.578821487135801e-01 0.000000000000000e+00 7.580205983833592e-07
5.635061107612669e-01 0.000000000000000e+00 1.117496130775158e-06
5.691928997265083e-01 0.000000000000000e+00 1.432556831691429e-06
5.749430846135694e-01 0.000000000000000e+00 1.690170778281862e-06
5.807572338099003e-01 0.000000000000000e+00 1.879870540729767e-06
5.866359153509753e-01 0.000000000000000e+00 1.993804585148553e-06
5.925796971243394e-01 0.000000000000000e+00 2.026786831925160e-06
5.985891470400032e-01 0.000000000000000e+00 1.976338000608075e-06
6.046648331921667e-01 0.000000000000000e+00 1.842712242020733e-06
6.108073240315361e-01 0.000000000000000e+00 1.628900895305450e-06
6.170171885646669e-01 0.000000000000000e+00 1.340600921205331e-06
6.232953850119487e-01 0.000000000000000e+00 9.864244631252591e-07
6.296424968520125e-01 0.000000000000000e+00 5.769148264610745e-07
6.360591110970485e-01 0.000000000000000e+00 1.247965311759790e-07
6.425458179546535e-01 0.000000000000000e+00 -3.553394937997776e-07
6.491032108391371e-01 0.000000000000000e+00 -8.474559745977068e-07
6.557318867442896e-01 0.000000000000000e+00 -1.334594393854636e-06
6.624324468723369e-01 0.000000000000000e+00 -1.799493090984955e-06
6.692054974061917e-01 0.000000000000000e+00 -2.225273451810146e-06
6.760516503344597e-01 0.000000000000000e+00 -2.596157418528625e-06
6.829715242599085e-01 0.000000000000000e+00 -2.898170847610783e-06
6.899657451357821e-01 0.000000000000000e+00 -3.119783448053389e-06
6.970349468838812e-01 0.000000000000000e+00 -3.252438117720084e-06
7.041797718582224e-01 0.000000000000000e+00 -3.290930413029475e-06
7.114008711306408e-01 0.000000000000000e+00 -3.233611570667102e-06
7.186989045897035e-01 0.000000000000000e+00 -3.082404098750293e-06
7.260745408600704e-01 0.000000000000000e+00 -2.842635215634945e-06
7.335284570637789e-01 0.000000000000000e+00 -2.522708123396862e-06
7.410613384559988e-01 0.000000000000000e+00 -2.133642484369066e-06
7.486738779744346e-01 0.000000000000000e+00 -1.688522441743202e-06
7.563667757434759e-01 0.000000000000000e+00 -1.201892805755803e-06
7.641407385718486e-01 0.000000000000000e+00 -6.891420515481566e-07
7.719964794769325e-01 0.000000000000000e+00 -1.659055158404745e-07
7.799418296929642e-01 0.000000000000000e+00 3.557544005128766e-07
7.879704815148261e-01 0.000000000000000e+00 8.601426046441190e-07
7.960831650396207e-01 0.000000000000000e+00 1.333409590117583e-06
8.042806155000496e-01 0.000000000000000e+00 1.763176033685733e-06
8.125635730046339e-01 0.000000000000000e+00 2.138820905042184e-06
8.209327824736894e-01 0.000000000000000e+00 2.451691710391433e-06
8.293889936445049e-01 0.000000000000000e+00 2.695243024018377e-06
8.379329611426107e-01 0.000000000000000e+00 2.865110402131184e-06
8.465654446120415e-01 0.000000000000000e+00 2.959126490498275e-06
8.552872088974796e-01 0.000000000000000e+00 2.977285145838347e-06
8.640990242725789e-01 0.000000000000000e+00 2.921658157435583e-06
8.730016667102105e-01 0.000000000000000e+00 2.796268059914548e-06
8.819959181912767e-01 0.000000000000000e+00 2.606919834267885e-06
8.910825670490060e-01 0.000000000000000e+00 2.360994137535501e-06
9.002624083452665e-01 0.000000000000000e+00 2.067205116835808e-06
9.095362442745625e-01 0.000000000000000e+00 1.735326782340008e-06
9.189048845901441e-01 0.000000000000000e+00 1.375893209661202e-06
9.283691470452342e-01 0.000000000000000e+00 9.998793395831450e-07
9.379298578409752e-01 0.000000000000000e+00 6.183706438458829e-07
9.475878520714923e-01 0.000000000000000e+00 2.422312359964579e-07
9.573439741556539e-01 0.000000000000000e+00 -1.182190524373909e-07
9.671990782447963e-01 0.000000000000000e+00 -4.535076839553447e-07
9.771540285959889e-01 0.000000000000000e+00 -7.552817478220287e-07
9.872096999013461e-01 0.000000000000000e+00 -1.016539672891016e-06
9.973669775654443e-01 0.000000000000000e+00 -1.231813828717987e-06
